No.,Atoll,Location,name: en,Atoll: dv,fullname:dv,name: dv
1,HA,HA - Thuraakunu,Thuraakunu,ހއ,ހއ. ތުރާކުނު,ތުރާކުނު
2,HA,HA - Uligamu,Uligamu,ހއ,ހއ. އުލިގަން,އުލިގަން
3,HA,HA - Berinmadhoo,Berinmadhoo,ހއ,ހއ. ބެރިންމަދޫ,ބެރިންމަދޫ
4,HA,HA - Hathifushi,Hathifushi,ހއ,ހއ. ހަތިފުށި,ހަތިފުށި
5,HA,HA - Molhadhoo,Molhadhoo,ހއ,ހއ. މޮޅަދޫ,މޮޅަދޫ
6,HA,HA - Hoarafushi,Hoarafushi,ހއ,ހއ. ހޯރަފުށި,ހޯރަފުށި
7,HA,HA - Ihavandhoo,Ihavandhoo,ހއ,ހއ. އިހަވަންދޫ,އިހަވަންދޫ
8,HA,HA - Kelaa,Kelaa,ހއ,ހއ. ކެލާ,ކެލާ
9,HA,HA - Vashafaru,Vashafaru,ހއ,ހއ. ވަށަފަރު,ވަށަފަރު
10,HA,HA - Dhidhdhoo,Dhidhdhoo,ހއ,ހއ. ދިއްދޫ,ދިއްދޫ
11,HA,HA - Filladhoo,Filladhoo,ހއ,ހއ. ފިއްލަދޫ,ފިއްލަދޫ
12,HA,HA - Maarandhoo,Maarandhoo,ހއ,ހއ. މާރަންދޫ,މާރަންދޫ
13,HA,HA - Thakandhoo,Thakandhoo,ހއ,ހއ. ތަކަންދޫ,ތަކަންދޫ
14,HA,HA - Utheem,Utheem,ހއ,ހއ. އުތީމު,އުތީމު
15,HA,HA - Muraidhoo,Muraidhoo,ހއ,ހއ. މުރައިދޫ,މުރައިދޫ
16,HA,HA - Baarah,Baarah,ހއ,ހއ. ބާރަށް,ބާރަށް
17,HA,HA - Maafahi,Maafahi,ހއ,ހއ. މާފަހި,މާފަހި
18,HA,HA - Alidhoo,Alidhoo,ހއ,ހއ. އަލިދޫ,އަލިދޫ
19,HA,HA - Huvahandhoo,Huvahandhoo,ހއ,ހއ. ހުވަހަންދޫ,ހުވަހަންދޫ
20,HA,HA - Dhonakulhi,Dhonakulhi,ހއ,ހއ. ދޮނަކުޅި,ދޮނަކުޅި
21,HA,HA - Beenaafushi,Beenaafushi,ހއ,ހއ. ބީނާފުށި,ބީނާފުށި
22,HA,HA - Dhapparuhuraa,Dhapparuhuraa,ހއ,ހއ. ދައްޕަރުހުރާ,ދައްޕަރުހުރާ
23,HA,HA - Dhigufaruhuraa,Dhigufaruhuraa,ހއ,ހއ. ދިގުފަރުހުރާ,ދިގުފަރުހުރާ
24,HA,HA - Gaafushi,Gaafushi,ހއ,ހއ. ގާފުށި,ގާފުށި
25,HA,HA - Gaamathikulhudhoo,Gaamathikulhudhoo,ހއ,ހއ. ގާމަތިކުޅުދޫ,ގާމަތިކުޅުދޫ
26,HA,HA - Gallandhoo,Gallandhoo,ހއ,ހއ. ގައްލަންދޫ,ގައްލަންދޫ
27,HA,HA - Govvaafushi,Govvaafushi,ހއ,ހއ. ގޮށްވާފުށި,ގޮށްވާފުށި
28,HA,HA - Innafinolhu,Innafinolhu,ހއ,ހއ. އިންނަފިނޮޅު,އިންނަފިނޮޅު
29,HA,HA - Kudafinolhu,Kudafinolhu,ހއ,ހއ. ކުޑަފިނޮޅު,ކުޑަފިނޮޅު
31,HA,HA - Maafinolhu,Maafinolhu,ހއ,ހއ. މާފިނޮޅު,މާފިނޮޅު
32,HA,HA - Madulu,Madulu,ހއ,ހއ. މަޑުލު,މަޑުލު
33,HA,HA - Manafaru,Manafaru,ހއ,ހއ. މަނަފަރު,މަނަފަރު
34,HA,HA - Matheerah,Matheerah,ހއ,ހއ. މަތީރަށް,މަތީރަށް
35,HA,HA - Medhafushi,Medhafushi,ހއ,ހއ. މެދަފުށި,މެދަފުށި
36,HA,HA - Mulidhoo,Mulidhoo,ހއ,ހއ. މުލިދޫ,މުލިދޫ
37,HA,HA - Naridhoo,Naridhoo,ހއ,ހއ. ނަރިދޫ,ނަރިދޫ
38,HA,HA - Ubulifinolhu,Ubulifinolhu,ހއ,ހއ. އުނބުލިފިނޮޅު,އުނބުލިފިނޮޅު
39,HA,HA - Umaraiyfinolhu,Umaraiyfinolhu,ހއ,ހއ. އުމަރަތްފިނޮޅު,އުމަރަތްފިނޮޅު
40,HA,HA - Vangaaru,Vangaaru,ހއ,ހއ. ވަނގާރު,ވަނގާރު
41,HA,HA - Velifinolhu,Velifinolhu,ހއ,ހއ. ވެލިފިނޮޅު,ވެލިފިނޮޅު
42,HDh,HDh - Faridhoo,Faridhoo,ހދ,ހދ. ފަރިދޫ,ފަރިދޫ
43,HDh,HDh - Hondaidhoo,Hondaidhoo,ހދ,ހދ. ހޮނޑައިދޫ,ހޮނޑައިދޫ
44,HDh,HDh - Hanimaadhoo,Hanimaadhoo,ހދ,ހދ. ހަނިމާދޫ,ހަނިމާދޫ
45,HDh,HDh - Finey,Finey,ހދ,ހދ. ފިނޭ,ފިނޭ
46,HDh,HDh - Naavaidhoo ,Naavaidhoo ,ހދ,ހދ. ނައިވާދޫ,ނައިވާދޫ
47,HDh,HDh - Hirimaradhoo,Hirimaradhoo,ހދ,ހދ. ހިރިމަރަދޫ,ހިރިމަރަދޫ
48,HDh,HDh - Nolhivaranfaru,Nolhivaranfaru,ހދ,ހދ. ނޮޅިވަރަންފަރު,ނޮޅިވަރަންފަރު
49,HDh,HDh - Nellaidhoo,Nellaidhoo,ހދ,ހދ. ނެއްލައިދޫ,ނެއްލައިދޫ
50,HDh,HDh - Nolhivaram,Nolhivaram,ހދ,ހދ. ނޮޅިވަރަމް,ނޮޅިވަރަމް
51,HDh,HDh - Kurinbi,Kurinbi,ހދ,ހދ. ކުރިނބި,ކުރިނބި
52,HDh,HDh - Kunburudhoo,Kunburudhoo,ހދ,ހދ. ކުނބުރުދޫ,ކުނބުރުދޫ
53,HDh,HDh - Kulhudhuffushi,Kulhudhuffushi,ހދ,ހދ. ކުޅުދުއްފުށި,ކުޅުދުއްފުށި
54,HDh,HDh - Kumundhoo,Kumundhoo,ހދ,ހދ. ކުމުންދޫ,ކުމުންދޫ
55,HDh,HDh - Neykurendhoo,Neykurendhoo,ހދ,ހދ. ނޭކުރެންދޫ,ނޭކުރެންދޫ
56,HDh,HDh - Vaikaradhoo,Vaikaradhoo,ހދ,ހދ. ވައިކަރަދޫ,ވައިކަރަދޫ
57,HDh,HDh - Maavaidhoo,Maavaidhoo,ހދ,ހދ. މާވައިދޫ,މާވައިދޫ
58,HDh,HDh - Makunudhoo,Makunudhoo,ހދ,ހދ. މަކުނުދޫ,މަކުނުދޫ
59,HDh,HDh - Vaikaramuraidhoo,Vaikaramuraidhoo,ހދ,ހދ. ވައިކަރަމުރާދޫ,ވައިކަރަމުރާދޫ
60,HDh,HDh - Theefaridhoo,Theefaridhoo,ހދ,ހދ. ތީފަރިދޫ,ތީފަރިދޫ
61,HDh,HDh - Dhipparufushi,Dhipparufushi,ހދ,ހދ. ދިއްޕަރުފުށި,ދިއްޕަރުފުށި
62,HDh,HDh - Fenboahuraa,Fenboahuraa,ހދ,ހދ. ފެންބޯހުރާ,ފެންބޯހުރާ
63,HDh,HDh - Hirinaidhoo,Hirinaidhoo,ހދ,ހދ. ހިރިނައިދޫ,ހިރިނައިދޫ
64,HDh,HDh - Hodaafushi,Hodaafushi,ހދ,ހދ. ހޮނޑާފުށި,ހޮނޑާފުށި
65,HDh,HDh - Innafushi,Innafushi,ހދ,ހދ. އިންނަފުށި,އިންނަފުށި
66,HDh,HDh - Kanamana,Kanamana,ހދ,ހދ. ކަނަމަނަ,ކަނަމަނަ
68,HDh,HDh - Kattalafushi,Kattalafushi,ހދ,ހދ. ކައްޓަލަފުށި,ކައްޓަލަފުށި
69,HDh,HDh - Keylakunu,Keylakunu,ހދ,ހދ. ކޭލަކުނު,ކޭލަކުނު
70,HDh,HDh - Kudafaru,Kudafaru,ހދ,ހދ. ކުޑަފަރު,ކުޑަފަރު
71,HDh,HDh - Kudamuraidhoo,Kudamuraidhoo,ހދ,ހދ. ކުޑަމުރައިދޫ,ކުޑަމުރައިދޫ
72,HDh,HDh - Muiri,Muiri,ހދ,ހދ. މުއިރު,މުއިރު
73,HDh,HDh - Naagoashi,Naagoashi,ހދ,ހދ. ނާގޯށި,ނާގޯށި
74,HDh,HDh - Rahburi,Rahburi,ހދ,ހދ. ރަށްބުރި,ރަށްބުރި
75,HDh,HDh - Rasfushi,Rasfushi,ހދ,ހދ. ރަސްފުށި,ރަސްފުށި
76,HDh,HDh - Ruffushi,Ruffushi,ހދ,ހދ. ރުއްފުށި,ރުއްފުށި
77,HDh,HDh - Veligandu,Veligandu,ހދ,ހދ. ވެލިގަނޑު,ވެލިގަނޑު
78,Sh,Sh - Kanditheemu,Kanditheemu,ށ,ށ. ކަނޑިތީމު,ކަނޑިތީމު
79,Sh,Sh - Noomaraa,Noomaraa,ށ,ށ. ނޫމަރާ,ނޫމަރާ
80,Sh,Sh - Goidhoo,Goidhoo,ށ,ށ. ގޮއިދޫ,ގޮއިދޫ
81,Sh,Sh - Feydhoo,Feydhoo,ށ,ށ. ފޭދޫ,ފޭދޫ
82,Sh,Sh - Feevah,Feevah,ށ,ށ. ފީވައް,ފީވައް
83,Sh,Sh - Bilehffahi,Bilehffahi,ށ,ށ. ބިލެތްފަހި,ބިލެތްފަހި
84,Sh,Sh - Foakaidhoo,Foakaidhoo,ށ,ށ. ފޯކައިދޫ,ފޯކައިދޫ
85,Sh,Sh - Narudhoo,Narudhoo,ށ,ށ. ނަރުދޫ,ނަރުދޫ
86,Sh,Sh - Maakandoodhoo,Maakandoodhoo,ށ,ށ. މާކަނޑޫދޫ,މާކަނޑޫދޫ
87,Sh,Sh - Maroshi,Maroshi,ށ,ށ. މަރޮށި,މަރޮށި
88,Sh,Sh - Lhaimagu,Lhaimagu,ށ,ށ. ޅައިމަގު,ޅައިމަގު
89,Sh,Sh - Firubaidhoo,Firubaidhoo,ށ,ށ. ފިރުނބައިދޫ,ފިރުނބައިދޫ
90,Sh,Sh - Komandoo,Komandoo,ށ,ށ. ކޮމަންޑޫ,ކޮމަންޑޫ
91,Sh,Sh - Maaungoodhoo,Maaungoodhoo,ށ,ށ. މާއުނގޫދޫ,މާއުނގޫދޫ
92,Sh,Sh - Funadhoo,Funadhoo,ށ,ށ. ފުނަދޫ,ފުނަދޫ
93,Sh,Sh - Milandhoo,Milandhoo,ށ,ށ. މިލަންދޫ,މިލަންދޫ
95,Sh,Sh - Keekimini,Keekimini,ށ,ށ. ކީކިމިނި,ކީކިމިނި
96,Sh,Sh - Bisalhaahuraa,Bisalhaahuraa,ށ,ށ. ބިސްއަޅާހުރާ,ބިސްއަޅާހުރާ
97,Sh,Sh - Boduhuraa,Boduhuraa,ށ,ށ. ބޮޑުހުރާ,ބޮޑުހުރާ
98,Sh,Sh - Bolissafaru,Bolissafaru,ށ,ށ. ބޮލިއްސަރު,ބޮލިއްސަރު
99,Sh,Sh - Dhigurah,Dhigurah,ށ,ށ. ދިގުރަށް,ދިގުރަށް
100,Sh,Sh - Dhiguvelidhoo,Dhiguvelidhoo,ށ,ށ. ދިގުވެލިދޫ,ދިގުވެލިދޫ
101,Sh,Sh - Dholhiyadhoo,Dholhiyadhoo,ށ,ށ. ދޮޅިޔަދޫ,ދޮޅިޔަދޫ
102,Sh,Sh - Dhonvelihuraa,Dhonvelihuraa,ށ,ށ. ދޮންވެލިހުރާ,ދޮންވެލިހުރާ
103,Sh,Sh - Dolhiyadhoo Kudarah,Dolhiyadhoo Kudarah,ށ,ށ. ދޮޅިޔަދޫކުޑަރަށް,ދޮޅިޔަދޫކުޑަރަށް
104,Sh,Sh - Eriadhoo,Eriadhoo,ށ,ށ. އެރިއަދޫ,އެރިއަދޫ
105,Sh,Sh - Eskasdhoo,Eskasdhoo,ށ,ށ. އެސްކަސްދޫ,އެސްކަސްދޫ
106,Sh,Sh - Farukolhu,Farukolhu,ށ,ށ. ފަރުކޮޅު,ފަރުކޮޅު
107,Sh,Sh - Fushifaru,Fushifaru,ށ,ށ. ފުށިފަރު,ފުށިފަރު
108,Sh,Sh - Gaakoshibee,Gaakoshibee,ށ,ށ. ގާކޮށިބީ,ގާކޮށިބީ
109,Sh,Sh - Gallaidhoo,Gallaidhoo,ށ,ށ. ގައްލައިދޫ,ގައްލައިދޫ
111,Sh,Sh - Hirubadhoo,Hirubadhoo,ށ,ށ. ހިނރުބަދޫ,ހިނރުބަދޫ
112,Sh,Sh - Hurasfaru,Hurasfaru,ށ,ށ. ހުރަސްފަރު,ހުރަސްފަރު
113,Sh,Sh - Ka'baalifaru,Ka'baalifaru,ށ,ށ. ކަނބާލިފަރު,ކަނބާލިފަރު
114,Sh,Sh - Kakaaeriadhoo,Kakaaeriadhoo,ށ,ށ. ކަކާއެރިއަދޫ,ކަކާއެރިއަދޫ
115,Sh,Sh - Kudadhoo,Kudadhoo,ށ,ށ. ކުޑަދޫ,ކުޑަދޫ
116,Sh,Sh - Kudafarufinolhu,Kudafarufinolhu,ށ,ށ. ކުޑަފަރުފިނޮޅު,ކުޑަފަރުފިނޮޅު
117,Sh,Sh - Kudafaruhuraa,Kudafaruhuraa,ށ,ށ. ކުޑަފަރުހުރާ,ކުޑަފަރުހުރާ
119,Sh,Sh - Kudalhaimendhoo,Kudalhaimendhoo,ށ,ށ. ކުޑަޅައިމެންދޫ,ކުޑަޅައިމެންދޫ
120,Sh,Sh - Madidhoo,Madidhoo,ށ,ށ. މަޑިދޫ,މަޑިދޫ
121,Sh,Sh - Madikuredhdhoo,Madikuredhdhoo,ށ,ށ. މަޑިކުރެއްދޫ,މަޑިކުރެއްދޫ
122,Sh,Sh - Mathikomandoo,Mathikomandoo,ށ,ށ. މަތިކޮމަންޑޫ,މަތިކޮމަންޑޫ
123,Sh,Sh - Medhukuburudhoo,Medhukuburudhoo,ށ,ށ. މެދުކުނބުރުދޫ,މެދުކުނބުރުދޫ
124,Sh,Sh - Medhurah,Medhurah,ށ,ށ. މެދުރަށް,މެދުރަށް
125,Sh,Sh - Migoodhoo,Migoodhoo,ށ,ށ. މިގޫދޫ,މިގޫދޫ
126,Sh,Sh - Muleehuraa,Muleehuraa,ށ,ށ. މުލީހުރާ,މުލީހުރާ
127,Sh,Sh - Naainfaru,Naainfaru,ށ,ށ. ނާއިންފަރު,ނާއިންފަރު
128,Sh,Sh - Naalaahuraa,Naalaahuraa,ށ,ށ. ނާލާހުރާ,ނާލާހުރާ
129,Sh,Sh - Nalandhoo,Nalandhoo,ށ,ށ. ނަލަންދޫ,ނަލަންދޫ
130,Sh,Sh - Naruribudhoo,Naruribudhoo,ށ,ށ. ނަރުރިނބުދޫ,ނަރުރިނބުދޫ
131,Sh,Sh - Neyo,Neyo,ށ,ށ. ނެޔޮ,ނެޔޮ
132,Sh,Sh - Vagaru,Vagaru,ށ,ށ. ވަގަރު,ވަގަރު
133,N,N - Henbandhoo,Henbandhoo,ނ,ނ. ހެނބަދޫ,ހެނބަދޫ
134,N,N - Kendhikolhudhoo,Kendhikolhudhoo,ނ,ނ. ކެނދިކޮޅުދޫ,ކެނދިކޮޅުދޫ
135,N,N - Tholhendhoo,Tholhendhoo,ނ,ނ. ތޮޅެންދޫ,ތޮޅެންދޫ
136,N,N - Maalhendhoo,Maalhendhoo,ނ,ނ. މާޅެންދޫ,މާޅެންދޫ
137,N,N - Kudafari,Kudafari,ނ,ނ. ކުޑަފަރީ,ކުޑަފަރީ
138,N,N - Landhoo,Landhoo,ނ,ނ. ލަންދޫ,ލަންދޫ
139,N,N - Maafaru,Maafaru,ނ,ނ. މާފަރު,މާފަރު
140,N,N - Lhohi,Lhohi,ނ,ނ. ޅޮހި,ޅޮހި
141,N,N - Miladhoo,Miladhoo,ނ,ނ. މިލަދޫ,މިލަދޫ
142,N,N - Magoodhoo,Magoodhoo,ނ,ނ. މަގޫދޫ,މަގޫދޫ
143,N,N - Manadhoo,Manadhoo,ނ,ނ. މަނަދޫ,މަނަދޫ
144,N,N - Holhudhoo,Holhudhoo,ނ,ނ. ހޮޅުދޫ,ހޮޅުދޫ
145,N,N - Fodhdhoo,Fodhdhoo,ނ,ނ. ފޮއްދޫ,ފޮއްދޫ
146,N,N - Velidhoo,Velidhoo,ނ,ނ. ވެލިދޫ,ވެލިދޫ
147,N,N - Aarah,Aarah,ނ,ނ. އާރަށް,އާރަށް
148,N,N - Badaidhidhdhoo,Badaidhidhdhoo,ނ,ނ. ބަނޑިއްދޫ,ބަނޑިއްދޫ
149,N,N - Bodufushi,Bodufushi,ނ,ނ. ބޮޑުފުށި,ބޮޑުފުށި
150,N,N - Bodulhaimendhoo,Bodulhaimendhoo,ނ,ނ. ބޮޑުޅައިމެންދޫ,ބޮޑުޅައިމެންދޫ
151,N,N - Bomasdhoo,Bomasdhoo,ނ,ނ. ބޮމަސްދޫ,ބޮމަސްދޫ
152,N,N - Burehifasdhoo,Burehifasdhoo,ނ,ނ. ބުރެހިފަސްދޫ,ބުރެހިފަސްދޫ
153,N,N - Dheefuram,Dheefuram,ނ,ނ. ދީފުރަމް,ދީފުރަމް
154,N,N - Dhekenanfaru,Dhekenanfaru,ނ,ނ. ދެކެނަންފަރު,ދެކެނަންފަރު
155,N,N - Dhigurah,Dhigurah,ނ,ނ. ދިގުރަށް,ދިގުރަށް
156,N,N - Dhonaerikandoodhoo,Dhonaerikandoodhoo,ނ,ނ. ދޮނައެރިކަންދޫދޫ,ދޮނައެރިކަންދޫދޫ
157,N,N - Edhdhuffaru Mairah,Edhdhuffaru Mairah,ނ,ނ. އެއްދުފަރު މައިރަށް,އެއްދުފަރު މައިރަށް
158,N,N - Ekulhivaru,Ekulhivaru,ނ,ނ. އެކުޅިވަރު,އެކުޅިވަރު
160,N,N - Farumuli,Farumuli,ނ,ނ. ފަރުމުލި,ފަރުމުލި
161,N,N - Felivaru,Felivaru,ނ,ނ. ފެލިވަރު,ފެލިވަރު
162,N,N - Felivarukudarah,Felivarukudarah,ނ,ނ. ފެލިވަރުކުޑަރަށް,ފެލިވަރުކުޑަރަށް
163,N,N - Fohdhipparu,Fohdhipparu,ނ,ނ. ފޮށްދިއްޕަރު,ފޮށްދިއްޕަރު
164,N,N - Fushivelavaru,Fushivelavaru,ނ,ނ. ފުށިވެލަވަރު,ފުށިވެލަވަރު
165,N,N - Goabilivaadhoo,Goabilivaadhoo,ނ,ނ. ގޯނބިލިވާދޫ,ގޯނބިލިވާދޫ
166,N,N - Holhumeedhoo,Holhumeedhoo,ނ,ނ. ހޮޅުމީދޫ,ހޮޅުމީދޫ
167,N,N - Huivani,Huivani,ނ,ނ. ހުއިވަނި,ހުއިވަނި
168,N,N - Hulhudhdhoo,Hulhudhdhoo,ނ,ނ. ހުޅުއްދޫ,ހުޅުއްދޫ
169,N,N - Huvadhumaavattaru,Huvadhumaavattaru,ނ,ނ. ހުވަނދުމާވައްޓަރު,ހުވަނދުމާވައްޓަރު
170,N,N - Inguraidhoo,Inguraidhoo,ނ,ނ. އިނގުރައިދޫ,އިނގުރައިދޫ
171,N,N - Kaalhugemendhoo,Kaalhugemendhoo,ނ,ނ. ކާޅުގެމެންދޫ,ކާޅުގެމެންދޫ
172,N,N - Kadinmaahuraa,Kadinmaahuraa,ނ,ނ. ކަނޑިމާހުރާ,ކަނޑިމާހުރާ
173,N,N - Kafakomandoo,Kafakomandoo,ނ,ނ. ކަފަކޮމަންޑޫ,ކަފަކޮމަންޑޫ
174,N,N - Kalaidhoo,Kalaidhoo,ނ,ނ. ކަލައިދޫ,ކަލައިދޫ
175,N,N - Karinma,Karinma,ނ,ނ. ކަރިންމާ,ކަރިންމާ
176,N,N - Karinmavattaru,Karinmavattaru,ނ,ނ. ކަރިންމަވައްޓަރު,ކަރިންމަވައްޓަރު
177,N,N - Kedhivaru,Kedhivaru,ނ,ނ. ކެނދިވަރު,ކެނދިވަރު
178,N,N - Kolhufushi,Kolhufushi,ނ,ނ. ކޮޅުފުށި,ކޮޅުފުށި
179,N,N - Kudafunafaru,Kudafunafaru,ނ,ނ. ކުޑަފުނަފަރު,ކުޑަފުނަފަރު
180,N,N - Kudafushi,Kudafushi,ނ,ނ. ކުޑަފުށި,ކުޑަފުށި
181,N,N - Kunnumalei,Kunnumalei,ނ,ނ. ކުންނުމަލެއި,ކުންނުމަލެއި
182,N,N - Kuramaadhoo,Kuramaadhoo,ނ,ނ. ކުރަނމާދޫ,ކުރަނމާދޫ
183,N,N - Kuredhivaru,Kuredhivaru,ނ,ނ. ކުރެދިވަރު,ކުރެދިވަރު
184,N,N - Loafaru,Loafaru,ނ,ނ. ލޯފަރު,ލޯފަރު
185,N,N - Maafunafaru,Maafunafaru,ނ,ނ. މާފުނަފަރު,މާފުނަފަރު
186,N,N - Maakanaafushi,Maakanaafushi,ނ,ނ. މާކަނާފުށި,މާކަނާފުށި
187,N,N - Maakurandhoo,Maakurandhoo,ނ,ނ. މާކުރަންދޫ,މާކުރަންދޫ
188,N,N - Maavandhoo,Maavandhoo,ނ,ނ. މާވަންދޫ,މާވަންދޫ
189,N,N - Maavelavaru,Maavelavaru,ނ,ނ. މާވެލަވަރު,މާވެލަވަރު
190,N,N - Medhafushi,Medhafushi,ނ,ނ. މެދަފުށި,މެދަފުށި
191,N,N - Medhufaru,Medhufaru,ނ,ނ. މެދުފަރު,މެދުފަރު
192,N,N - Minaavaru,Minaavaru,ނ,ނ. މިނާވަރު,މިނާވަރު
193,N,N - Orimasvaru,Orimasvaru,ނ,ނ. އޮރިމަސްވަރު,އޮރިމަސްވަރު
194,N,N - Orivaru,Orivaru,ނ,ނ. އޮރިވަރު,އޮރިވަރު
195,N,N - Orivarukudarah,Orivarukudarah,ނ,ނ. އޮރިވަރުކުޑަރަށް,އޮރިވަރުކުޑަރަށް
196,N,N - Raafushi,Raafushi,ނ,ނ. ރާފުށި,ރާފުށި
198,N,N - Raalhulaakolhu,Raalhulaakolhu,ނ,ނ. ރާޅުލާކޮޅު,ރާޅުލާކޮޅު
199,N,N - Randheli,Randheli,ނ,ނ. ރަންދެލި,ރަންދެލި
200,N,N - Thaburudhoo,Thaburudhoo,ނ,ނ. ތަނބުރުދޫ,ތަނބުރުދޫ
201,N,N - Thaburudhuffushi,Thaburudhuffushi,ނ,ނ. ތަނބުރުދުއްފުށި,ތަނބުރުދުއްފުށި
202,N,N - Tholhendhoo,Tholhendhoo,ނ,ނ. ތޮޅެންދޫ,ތޮޅެންދޫ
